City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
556,meulaboh,4.1363,96.1285,83.01,83.0,100.0,1.61,ID,1716907334
557,midvagur,62.0511,-7.1939,52.63,93.0,100.0,14.97,FO,1716907335
558,vernon,50.2581,-119.2691,58.3,75.0,100.0,3.44,CA,1716907336
559,umm kaddadah,13.6017,26.6876,105.33,5.0,4.0,10.94,SD,1716907337
560,zindah jan,34.3426,61.7468,79.32,16.0,0.0,18.9,AF,1716907339
561,ankazoabo,-22.2833,44.5167,72.34,43.0,1.0,5.7,MG,1716907340
562,north platte,41.1239,-100.7654,68.25,54.0,0.0,4.0,US,1716907078
563,kigorobya,1.6162,31.3089,80.55,57.0,51.0,1.28,UG,1716907342
564,lower hutt,-41.2167,174.9167,45.12,92.0,2.0,1.14,NZ,1716907343
565,les cayes,18.2,-73.75,86.83,66.0,100.0,7.96,HT,1716907344
566,cartagena,10.3997,-75.5144,87.42,79.0,75.0,11.5,CO,1716907251
567,luchegorsk,46.4764,134.2569,44.8,88.0,78.0,3.78,RU,1716907346
568,sumbe,-11.2061,13.8437,81.93,74.0,10.0,9.22,AO,1716907231
569,hampton bays,40.869,-72.5176,77.04,87.0,20.0,10.0,US,1716907349
570,fortuna,40.5982,-124.1573,54.93,91.0,75.0,1.01,US,1716907350
571,kerikeri,-35.2268,173.9474,50.92,92.0,60.0,1.01,NZ,1716907351
572,opuwo,-18.0607,13.84,83.19,19.0,52.0,5.32,NA,1716907352
573,richfield,44.8833,-93.283,56.48,94.0,100.0,4.61,US,1716907193
574,lyantor,61.6195,72.1555,31.12,59.0,93.0,16.75,RU,1716907354
575,pustoshka,56.3355,29.369,71.24,64.0,91.0,4.5,RU,1716907355
576,tongouson,5.0214,120.1328,83.41,80.0,100.0,8.95,PH,1716907356
577,sangmelima,2.9333,11.9833,81.16,79.0,95.0,3.56,CM,1716907358
578,port macquarie,-31.4333,152.9167,52.9,96.0,20.0,5.08,AU,1716907359
579,khandyga,62.6667,135.6,54.93,62.0,95.0,2.19,RU,1716907360
580,coracora,-15.0333,-73.7833,61.36,14.0,31.0,3.13,PE,1716907361
581,tahe,52.3333,124.7333,42.76,68.0,96.0,2.55,CN,1716907362
582,gonzales,30.2385,-90.9201,87.98,76.0,100.0,6.91,US,1716907299
583,padre bernardo,-15.35,-48.5,87.73,26.0,38.0,4.81,BR,1716907364
584,srivardhan,18.0333,73.0167,84.47,78.0,62.0,7.87,IN,1716907365
585,broome,42.2506,-75.833,69.33,77.0,100.0,13.8,US,1716907366
587,vilhena,-12.7406,-60.1458,62.82,77.0,20.0,10.36,BR,1716907369
588,vershino-darasunskiy,52.35,115.5167,44.83,54.0,30.0,4.9,RU,1716907370
589,peace river,56.2501,-117.286,48.51,87.0,100.0,9.22,CA,1716907371
590,rongelap,11.1635,166.8941,81.79,79.0,84.0,15.1,MH,1716907372
591,yaren,-0.5472,166.916,83.89,76.0,85.0,8.97,NR,1716907373
592,meizhou,24.2977,116.1072,75.97,96.0,98.0,1.68,CN,1716907374
594,tindouf,27.6711,-8.1474,100.85,11.0,84.0,4.61,DZ,1716907377
595,antonio enes,-16.2325,39.9086,77.43,57.0,0.0,10.98,MZ,1716907378
596,dzuunharaa,48.8523,106.4579,45.03,78.0,100.0,1.61,MN,1716907379
597,lichinga,-13.3128,35.2406,69.89,49.0,75.0,10.36,MZ,1716907380
598,coquimbo,-29.9533,-71.3436,49.73,100.0,100.0,8.05,CL,1716907206
599,bandarbeyla,9.4942,50.8122,85.44,65.0,88.0,30.38,SO,1716907382
600,isabela,6.7085,121.9711,80.49,88.0,98.0,2.98,PH,1716907383
601,lhasa,29.65,91.1,56.52,75.0,61.0,5.73,CN,1716907385
602,sidrolandia,-20.9319,-54.9614,61.03,54.0,55.0,6.71,BR,1716907386
603,namibe,-15.1961,12.1522,79.56,59.0,7.0,19.8,AO,1716907387
604,dunbar,38.3606,-81.7374,76.75,67.0,20.0,6.91,US,1716907388
605,nizhniye sergi,56.6614,59.3033,55.24,86.0,96.0,8.41,RU,1716907389
